******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      270.387     1195.309
       0.001        0.000      270.387     1195.309
       0.001        0.000      270.387     1195.309
       0.002        0.000      270.387     1195.309
       0.008        0.000      270.387     1195.309
       0.009        0.000      270.387     1195.309
       0.009        0.000      270.387     1195.309
       0.009        0.000      270.387     1195.309
       0.010        0.000      270.387     1195.309
       0.010        0.000      270.387     1195.309
       0.010        0.000      270.387     1195.309
       0.011        0.000      270.387     1195.309
       0.011        0.000      270.387     1195.309
       0.011        0.000      270.387     1195.309
       0.012        0.000      270.387     1195.309
       0.012        0.000      270.387     1195.309
       0.012        0.000      270.387     1195.309
       0.013        0.000      270.387     1195.309
       0.029        0.000      270.387     1195.309
       0.030        0.000      270.387     1195.309
       0.033        0.000      270.387     1195.309
       0.033        0.000      270.387     1195.309
       0.034        0.000      270.387     1195.309
       0.034        0.000      270.387     1195.309
       0.034        0.000      270.387     1195.309
       0.035        0.000      270.387     1195.309
       0.035        0.000      270.387     1195.309
       0.035        0.000      270.387     1195.309
       0.036        0.000      270.387     1195.309
       0.036        0.000      270.387     1195.309
       0.044        0.000      270.387     1195.309
       0.045        0.000      270.387     1195.309
       0.045        0.000      270.387     1195.309
       0.045        0.000      270.387     1195.309
       0.046        0.000      270.387     1195.309
       0.046        0.000      270.387     1195.309
       0.046        0.000      270.387     1195.309
       0.048        0.000      270.387     1195.309
       0.048        0.000      270.387     1195.309
       0.060        0.000      270.387     1195.309
       0.061        0.000      270.387     1195.309
       0.062        0.000      270.387     1195.309
       0.062        0.000      270.387     1195.309
       0.063        0.000      270.387     1195.309
       0.063        0.000      270.387     1195.309
       0.063        0.000      270.387     1195.309
       0.064        0.000      270.387     1195.309
       0.069        0.000      270.387     1195.309
       0.073        0.000      270.387     1195.309
       0.080        5.518      270.387     1195.309
       0.084        0.000      270.387     1195.309
       0.084        0.000      270.387     1195.309
       0.085        0.000      270.387     1195.309
       0.085        0.000      270.387     1195.309
       0.086        0.000      270.387     1195.309
       0.086        0.000      270.387     1195.309
       0.105        0.000      270.387     1195.309
       0.108        0.000      270.387     1195.309
       0.108        0.000      270.387     1195.309
       0.109        0.000      270.387     1195.309
       0.115        0.000      270.387     1195.309
       0.116        0.000      270.387     1195.309
       0.116        0.000      270.387     1195.309
       0.116        0.000      270.387     1195.309
       0.116        0.000      270.387     1195.309
       0.126        0.000      270.387     1195.309
       0.127        0.000      270.387     1195.309
       0.127        0.000      270.387     1195.309
       0.127        0.000      270.387     1195.309
       0.133        0.000      270.387     1195.309
       0.138        0.000      270.387     1195.309
       0.138        0.000      270.387     1195.309
       0.147        0.000      270.387     1195.309
       0.147        0.000      270.387     1195.309
       0.147        0.000      270.387     1195.309
       0.148        0.000      270.387     1195.309
       0.154        0.000      270.387     1195.309
       0.154        0.000      270.387     1195.309
       0.155        0.000      270.387     1195.309
       0.155        0.000      270.387     1195.309
       0.155        0.000      270.387     1195.309
       0.156        0.000      270.387     1195.309
       0.156        0.000      270.387     1195.309
       0.156        0.000      270.387     1195.309
       0.176        0.000      270.387     1195.309
       0.177        0.000      270.387     1195.309
       0.179        0.000      270.387     1195.309
       0.179        0.000      270.387     1195.309
       0.179        0.000      270.387     1195.309
       0.179        0.000      270.387     1195.309
       0.181        0.000      270.387     1195.309
       0.185        0.000      270.387     1195.309
       0.185        0.000      270.387     1195.309
       0.186        0.000      270.387     1195.309
       0.186        0.000      270.387     1195.309
       0.186        0.000      270.387     1195.309
       0.197        0.000      270.387     1195.309
       0.197        0.000      270.387     1195.309
       0.198        0.000      270.387     1195.309
       0.198        0.000      270.387     1195.309
       0.198        0.000      270.387     1195.309
       0.199        0.000      270.387     1195.309
